fingerprint,ruleId,uri,line,level,cwe,owasp_asvs,compliance_name,meta_source,triage_status,fixed_in_version,external_ticket_id,external_system,pci_dss,sox,soc2,gost_r_57580,dashboard_cwe_class,sla_state,sla_seconds_until_due,ttf_seconds_open,message
9b81b3e96babafb64cffdf6fecfd06cfe99a98481bed86ccb5d5bdc31dcc879c,java:fsb-spring-thymeleaf-utext-untrusted-g30,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/WebSocketController.java,20,warning,CWE-20,A06,Fsb: spring thymeleaf utext untrusted g30.,static_registry,new,,,,6.5.8;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-20,none,,,Fsb: spring thymeleaf utext untrusted g30.
14a6921472279925c5659731cf1ea9c6809cecd58e8ac669c7cd6265dce550cf,java:fsb-spring-thymeleaf-utext-untrusted-http-rp-rt2-222-g222,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/WebSocketController.java,20,warning,CWE-20,A06,Fsb: spring thymeleaf utext untrusted http rp rt2 222 g222.,static_registry,new,,,,6.5.8;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-20,none,,,Fsb: spring thymeleaf utext untrusted http rp rt2 222 g222.
3f18766bb2aed0f0bfc5a1a5a64fda14412508aedab357638d7dedf4c9c3a114,java:spring-boot-server-error-include-message-always,src/main/resources/application.yml,5,warning,CWE-209,A05,Spring Boot exposes detailed errors (include-message/binding-errors),static_registry,new,,,,6.5.8;6.2.4,SOX-ITGC-APP-02,CC6.1;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-209,none,,,Spring Boot exposes detailed errors (include-message/binding-errors)
f12ae96637cea65c149de4b2f15dfd471ccaa5d8e58dfd0f8d00b27241de508f,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/BankController.java,33,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
34e17f0e7c2d57981ea7c2624338910155bf6c1b38e8f1b96ece7b95d2f5d6e4,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DealController.java,29,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
f347c44020b533b35086df6d50b671b09ded77bd8945e2f0dfe51da37233ec1f,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositController.java,31,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
5ce7fe619c84d6b7ff39686272ad6b91539dc1613f62b76a64bb293c6971cf06,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositOvernightController.java,32,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
b03304dcd53d00c62172416cb7085d5ee164d66209c6bfd0c94fda7f73a82059,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DocumentController.java,28,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
fdfaee1683e0ed99b68f2856f4efd0e5f8034df5420a726410b60ec3ea9bcfb9,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/FrontController.java,48,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
f2948889d1cb3592de0e20d8d1657a247bdcbdb235eb6be5c27311da193d019d,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/MobilePubKeyController.java,23,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
